PNR,customer_email,account_number,reward_points_earned,reward_points_burned,total_reward_points,membership_tier_before_transaction,membership_tier,date_points_earned,points_before_transaction
FMXXRJ,stephen.sanchez@example.org,8728950818,1119,0,3233,Gold,Gold,5/15/2022,2114
BZXXGZ,laura.irwin@example.net,5205059740,58,0,361,Silver,Silver,1/4/2022,303
I8XXNX,dana.davis@example.com,4569727633,94,73,167,Silver,Silver,5/31/2022,146
HLXXP1,jennifer.giles@example.org,5806314176,150,0,180,Silver,Silver,6/28/2022,30
H2XXTD,rachel.ortiz@example.net,2667237705,87,0,168,Silver,Silver,9/2/2022,81
GMXXP9,edward.hammond@example.org,4481939747,794,0,808,Silver,Silver,2/17/2022,14
JJXXGR,sean.thomas@example.net,8985328193,97,0,178,Silver,Silver,1/14/2022,81
PMXXYB,michael.weiss@example.net,7980601846,261,0,327,Silver,Silver,6/22/2022,66
PFXX0X,adam.fields@example.com,5388587769,723,0,856,Silver,Silver,6/22/2022,133
PMXXYB,bryan.hawkins@example.net,7394769086,189,0,729,Silver,Silver,6/22/2022,540
ETXX2Q,connor.knight@example.net,1396856352,1633,0,4275,Gold,Gold,12/15/2021,2642
E2XXFS,jennifer.price@example.com,207290571,1701,0,9687,Diamond,Diamond,8/28/2021,7986
CKXX68,lisa.reyes@example.com,5870773210,2609,0,3033,Silver,Gold,8/28/2021,424
C5XXVQ,melissa.oliver@example.org,8981685756,373,0,501,Silver,Silver,8/28/2021,128
MWXXYP,michael.stewart@example.net,8409115022,514,0,679,Silver,Silver,3/10/2022,165
A8XXQ9,alfred.ho@example.net,1218081171,2916,0,3996,,Gold,9/5/2022,1080
NXXXZY,joyce.moore@example.org,2386544395,218,0,713,Silver,Silver,12/24/2021,495
BWXX4C,christian.page@example.net,2060572156,3610,0,3912,Silver,Gold,3/15/2022,302
GTXXJ8,nancy.wolfe@example.com,5335048989,433,0,511,Silver,Silver,3/15/2022,78
DMXXX5,emily.ortega@example.org,973397729,4960,0,6431,,Diamond,1/17/2022,1471
K1XXQ4,ashley.barrett@example.com,4067265769,222,0,982,Silver,Silver,3/15/2022,760
NMXXNK,amy.montgomery@example.org,990742978,6755,0,8686,,Diamond,1/9/2022,1931
ALXXZJ,amanda.reeves@example.org,5138417873,14807,0,15028,Silver,Platinum,9/7/2022,221
BZXX6T,abigail.costa@example.org,9915353846,58,220,351,Silver,Silver,7/22/2022,513
E6XXFG,john.mcdaniel@example.org,9283411763,240,0,263,Silver,Silver,9/28/2021,23
J7XX1N,zachary.horn@example.com,8013834884,161,0,752,Silver,Silver,9/8/2022,591
N2XXEV,megan.johnson@example.net,6289067923,30,0,2525,Gold,Gold,9/21/2021,2495
H4XXDC,john.joyce@example.net,2777881983,292,0,951,Silver,Silver,9/21/2021,659
JXXXMC,george.elliott@example.net,8438883795,52,0,70,Silver,Silver,1/22/2022,18
HFXXGQ,aaron.walker@example.org,7544877524,2229,0,4459,Gold,Gold,8/1/2022,2230
DHXXB2,donald.perez@example.com,9854478513,386,0,538,Silver,Silver,8/22/2022,152
DWXXGF,anne.williamson@example.org,8447965631,640,0,842,Silver,Silver,8/20/2022,202
EDXX3N,steven.wallace@example.com,1935701941,36,313,456,Silver,Silver,8/20/2022,733
